Kind,Item,Model,Field,Was,Corrected To,Note
radio,Elecraft,K2,cat_protocol,Elecraft/Kenwood-like (recognizes a TS-570 command subset),Elecraft / Kenwood-like (recognizes a subset of the Kenwood TS-570 command set),"STOP BITS CORRECTED 1 -> 2. The Elecraft KIO2 (and the K2 firmware serial engine) run 4800 baud, 8 data bits, NO parity, 2 STOP bits, no handshaking. Confirmed in the KIO2 manual and multiple Elecraft sources. TS-570 command-subset claim confirmed."
radio,Elecraft,K2,stop_bits,1,2,"STOP BITS CORRECTED 1 -> 2. The Elecraft KIO2 (and the K2 firmware serial engine) run 4800 baud, 8 data bits, NO parity, 2 STOP bits, no handshaking. Confirmed in the KIO2 manual and multiple Elecraft sources. TS-570 command-subset claim confirmed."
radio,Elecraft,K2,recommended_interface,USB-to-RS232 adapter for CAT (KIO2 DB9) + Digirig Mobile for audio; SignaLink USB as audio-only alternative,KIO2 RS-232 (DB9) via a USB-to-RS232 adapter for CAT + Digirig Mobile (or SignaLink USB) for audio,"STOP BITS CORRECTED 1 -> 2. The Elecraft KIO2 (and the K2 firmware serial engine) run 4800 baud, 8 data bits, NO parity, 2 STOP bits, no handshaking. Confirmed in the KIO2 manual and multiple Elecraft sources. TS-570 command-subset claim confirmed."
radio,Elecraft,K2,ptt_method,CAT (software) or Digirig RTS/DTR keying into PTT,CAT (software) or Digirig/SignaLink RTS/DTR keying into the PTT line,"STOP BITS CORRECTED 1 -> 2. The Elecraft KIO2 (and the K2 firmware serial engine) run 4800 baud, 8 data bits, NO parity, 2 STOP bits, no handshaking. Confirmed in the KIO2 manual and multiple Elecraft sources. TS-570 command-subset claim confirmed."
radio,Elecraft,K2/100,cat_protocol,Elecraft/Kenwood-like (TS-570 command subset),Elecraft / Kenwood-like (subset of the Kenwood TS-570 command set),"STOP BITS CORRECTED 1 -> 2. On the K2/100 the KPA100 option provides the RS-232 port (so a KIO2 is not required), but it runs the same K2 serial firmware: 4800 baud, 8 data bits, no parity, 2 stop bits. TS-570 subset confirmed."
radio,Elecraft,K2/100,stop_bits,1,2,"STOP BITS CORRECTED 1 -> 2. On the K2/100 the KPA100 option provides the RS-232 port (so a KIO2 is not required), but it runs the same K2 serial firmware: 4800 baud, 8 data bits, no parity, 2 stop bits. TS-570 subset confirmed."
radio,Elecraft,K2/100,recommended_interface,USB-to-RS232 adapter for CAT (KIO2 DB9) + Digirig Mobile for audio; SignaLink USB as audio-only alternative,RS-232 (DB9) for CAT - either the KPA100's built-in RS-232 or a KIO2 - via a USB-to-RS232 adapter + Digirig Mobile (or SignaLink USB) for audio,"STOP BITS CORRECTED 1 -> 2. On the K2/100 the KPA100 option provides the RS-232 port (so a KIO2 is not required), but it runs the same K2 serial firmware: 4800 baud, 8 data bits, no parity, 2 stop bits. TS-570 subset confirmed."
radio,Elecraft,K2/100,ptt_method,CAT (software) or Digirig RTS/DTR keying into PTT,CAT (software) or Digirig/SignaLink RTS/DTR keying into the PTT line,"STOP BITS CORRECTED 1 -> 2. On the K2/100 the KPA100 option provides the RS-232 port (so a KIO2 is not required), but it runs the same K2 serial firmware: 4800 baud, 8 data bits, no parity, 2 stop bits. TS-570 subset confirmed."
radio,Genesis Radio,G59,cat_protocol,Kenwood-like (PowerSDR/SDR-1000 CAT via virtual COM),Kenwood-like CAT via GSDR/PowerSDR virtual COM (rig control runs over the native USB-HID link),"Corrected. The claim said the G59 has a built-in USB audio codec and single-USB-cable operation. In fact the G59's USB is a HID CONTROL interface only (reverse-engineered: VID 0xFFFE, PID 0x1970, 64-byte HID control blocks); I/Q audio still goes through an external PC/USB sound card, exactly like the G40/G3020. It is a 'soundcard-based SDR' with no onboard audio codec."
radio,Genesis Radio,G59,baud,n/a (virtual COM defined in software),n/a - control over USB-HID; CAT to third-party apps via virtual COM,"Corrected. The claim said the G59 has a built-in USB audio codec and single-USB-cable operation. In fact the G59's USB is a HID CONTROL interface only (reverse-engineered: VID 0xFFFE, PID 0x1970, 64-byte HID control blocks); I/Q audio still goes through an external PC/USB sound card, exactly like the G40/G3020. It is a 'soundcard-based SDR' with no onboard audio codec."
