Manufacturer,Model,Type,Bands,Modes,Era,Notes
ADI (Premier/Pryme),AR-146,VHF mobile,2m,FM,1990s,"2m FM mobile; ADI Communications (Taiwan), US-distributed by Premier."
ADI (Premier/Pryme),AR-247,VHF/UHF mobile,2m/70cm,FM,1990s,Dual-band FM mobile.
Ailunce (Retevis),HD1,VHF/UHF handheld,2m/70cm,DMR/FM,2017,Dual-band DMR HT with GPS; Ailunce premium sub-brand distinct from base Retevis rows.
Airspy,Airspy (original),VHF/UHF SDR receiver (USB),RX 24-1750 MHz,All-mode SDR RX (AM/SSB/CW/FM/WFM),2014,"First Airspy (sometimes 'R0'): R820T2 tuner + 12-bit oversampling ADC, up to 10 MSPS; HF via SpyVerter upconverter."
Airspy,Airspy HF+,HF/VHF SDR receiver (USB),RX 0.5 kHz-31 MHz + 60-260 MHz,All-mode SDR RX (AM/SSB/CW/FM),2017,Polyphase-harmonic-rejection HF+VHF receiver optimized for weak-signal HF DXing; very high dynamic range.
Airspy,Airspy HF+ Discovery,HF/VHF SDR receiver (USB),RX 0.5 kHz-31 MHz + 60-260 MHz,All-mode SDR RX (AM/SSB/CW/FM),2019,Miniaturized HF+ with per-band preselectors and new DSP core; current top HF-receive performance model.
Airspy,Airspy HF+ Dual Port,HF/VHF SDR receiver (USB),RX 0.5 kHz-31 MHz + 60-260 MHz,All-mode SDR RX (AM/SSB/CW/FM),2018,HF+ revision with separate HF and VHF antenna ports; won 2019 WRTH award.
Airspy,Airspy Mini,VHF/UHF SDR receiver (USB dongle),RX 24-1700 MHz,All-mode SDR RX (AM/SSB/CW/FM/WFM),2016,"Pocket-size R2 architecture, up to 6 MSPS; portable high-performance VHF/UHF receiver."
Airspy,Airspy R2,VHF/UHF SDR receiver (USB),RX 24-1800 MHz,All-mode SDR RX (AM/SSB/CW/FM/WFM),2015,"Improved main model: 10 MSPS, low-phase-noise clock; one of the best-known SDR scanners. SDR# native."
Alinco,ALD-24 / ALR-22 / ALR-206,VHF FM mobile,2m,FM,1980s,Early Alinco 2m FM mobiles.
Alinco,ALM-203 / ALX-2,VHF handheld,2m,FM,1980s,Very early Alinco 2m FM HTs.
Alinco,DJ-100 / DJ-100T,VHF handheld,2m,FM,late 1980s,Early 2m FM HT.
Alinco,DJ-120 / DJ-120T,VHF handheld,2m,FM,1990,2m FM HT.
Alinco,DJ-160 / DJ-160T,VHF handheld,2m,FM,early 1990s,2m FM HT.
Alinco,DJ-162 / DJ-162T,VHF handheld,2m,FM,early 1990s,2m FM HT.
Alinco,DJ-175 / DJ-175T,VHF handheld,2m,FM,2008,Rugged budget 5W 2m FM HT.
