Name,Category,Subcategory,Platforms,Function,Radio Interaction,License,Notes
AK1A PacketCluster,APRS / Packet,DX cluster node (legacy),DOS,The original packet DX cluster software,Serial TNC on RF; PTT via TNC,Commercial (legacy),Historic; largely superseded by DXSpider/AR-Cluster.
APRS Messenger,APRS / Packet,APRS client (HF),Windows,"APRS keyboard messaging over sound-card HF modes (GMSK, PSK, MFSK) plus APRS-IS",Sound-card audio in/out; PTT (serial or via AGW soundmodem),Free,G4HYG. Brings APRS to HF using soundcard modems rather than 1200-baud VHF.
aprs.fi (mobile app),APRS / Packet,APRS client (mobile),iOS,"APRS map, messaging and beaconing companion to the aprs.fi service",BLE KISS TNC (e.g. Mobilinkd TNC3) for off-grid transmit/receive of position beacons,Free,Distinct from the display-only aprs.fi website (which does not touch a radio).
aprsd,APRS / Packet,APRS server / IGate,Linux,APRS-IS server that can IGate traffic heard on RF,Serial TNC for RF igating; PTT via TNC when gating to RF,Open-source,WA4DSY; older Linux IGate/server.
APRSdos,APRS / Packet,APRS client (original),DOS,The original APRS program that created the mode,Serial TNC (KISS/TNC2); GPS in; PTT via TNC,Free,WB4APR Bob Bruninga; the ancestor of all APRS software.
APRSdroid,APRS / Packet,APRS / packet (mobile),Android,"APRS position reporting, station map display and messaging from a phone","Built-in AFSK soundcard TNC (audio in/out to an HT), or KISS TNC / Direwolf via Bluetooth/USB; PTT via VOX/cable",Open-source / Free,"By Georg Lukas; the standard Android APRS app, works with an HT and audio cable or an external TNC."
APRSISCE/32 (APRSIS32),APRS / Packet,APRS client,Windows / Windows Mobile / Windows CE,"Full APRS client: mapping, messaging, tracking, digipeater and IGate",KISS/AGW TNC over serial or TCP; soundcard modem via AGW; GPS in; PTT via TNC,Free (donationware),Actively used; portable version runs on Windows Mobile handhelds.
APRSpoint,APRS / Packet,APRS client,Windows,APRS mapping client (built around Microsoft MapPoint),Connects to a serial/KISS TNC to view and transmit APRS; PTT via TNC,Commercial,"Legacy; required MapPoint, so mostly historical now."
APRSPro,APRS / Packet,APRS client (mobile),iOS,"APRS mapping, messaging and tracking",External TNC via audio/BLE for RF transmit/receive; also APRS-IS,Commercial,iOS APRS client (APRSPro Ultimate).
aprx,APRS / Packet,APRS digipeater / IGate daemon,Linux / Raspberry Pi,Lightweight RX/TX IGate and APRS/AX.25 digipeater daemon,"KISS serial/TCP TNC, or soundmodem/Dire Wolf; PTT via TNC",Open-source,Runs on very small hardware; popular fill-in digi/igate.
