Manufacturer,Model,Type,Bands,Connection Method,CAT Protocol,Baud,Data Bits,Stop Bits,Parity,Flow Control,CI-V Address,Built-in Sound Card,Recommended Interface,PTT Method,Radio Menu Settings,Cable/Port,Notes,Verified,Source,Source URL,Source Note
ADI (Premier/Pryme),AR-146,VHF mobile,2m,Program channels with CHIRP over the model's USB programming cable; for FM digital (APRS/packet/SSTV) attach a Digirig Mobile to the mic jack. No CAT rig control - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + modular mic-jack cable (SignaLink as audio-only alt); CHIRP USB cable for programming,VOX or Digirig RTS keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud settings.,Front mic jack (RJ modular) + ext-speaker jack,1990s rebadged 2m FM mobile; no serial port. CHIRP support via generic driver may be limited - manual programming likely.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
ADI (Premier/Pryme),AR-247,VHF/UHF mobile,2m/70cm,Program channels with CHIRP over the model's USB programming cable; for FM digital attach a Digirig Mobile to the mic jack. No CAT rig control - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + modular mic-jack cable (SignaLink as audio-only alt); CHIRP USB cable for programming,VOX or Digirig RTS keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud settings.,Front mic jack (RJ modular) + ext-speaker jack,2m/70cm rebadged FM mobile; no serial port. Program manually or via generic cable.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ailunce (Retevis),HD1,VHF/UHF handheld,2m/70cm,"Connect the Ailunce/Retevis USB programming cable and edit the codeplug in the Ailunce HD1 CPS. Not CAT rig control; for network DMR use a Pi-Star hotspot, not a soundcard.",none,n/a,n/a,n/a,n/a,None,n/a,No,Ailunce/Retevis USB programming cable + HD1 CPS (no Digirig/SignaLink needed),PTT button or VOX,Channels/contacts/talkgroups set in CPS; no CAT/baud.,Maker 2-pin programming/spkr-mic jack,Dual-band DMR/analog HT; PC link is codeplug-only. GPS variant exists.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Airspy,Airspy (original),VHF/UHF SDR receiver (USB),RX 24-1750 MHz,"Plug directly into a USB port; tune and demodulate entirely in SDR software (SDR#, SDR++, SDRangel, GQRX). No serial CAT and no radio-side settings.",none,n/a,n/a,n/a,n/a,None,n/a,No - streams raw IQ over USB via the libairspy driver (not a USB-audio device),None (direct USB),n/a (receive only),None - all control is in the SDR application.,Micro-USB (USB 2.0),24-1750 MHz USB SDR receiver; use SPY Server for network sharing. RX only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Airspy,Airspy HF+,HF/VHF SDR receiver (USB),RX 0.5 kHz-31 MHz + 60-260 MHz,"Plug directly into a USB port; tune/demodulate in SDR software (SDR#, SDR++, SDRangel, GQRX). No serial CAT, no radio-side settings.",none,n/a,n/a,n/a,n/a,None,n/a,No - streams IQ over USB via the libairspyhf driver (not USB-audio),None (direct USB),n/a (receive only),None - all control in the SDR app.,Micro-USB (USB 2.0),HF/VHF (0.5 kHz-31 MHz + 60-260 MHz) high-dynamic-range SDR receiver. RX only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Airspy,Airspy HF+ Discovery,HF/VHF SDR receiver (USB),RX 0.5 kHz-31 MHz + 60-260 MHz,"Plug directly into a USB port; tune/demodulate in SDR software (SDR#, SDR++, SDRangel, GQRX). No serial CAT, no radio-side settings.",none,n/a,n/a,n/a,n/a,None,n/a,No - streams IQ over USB via the libairspyhf driver (not USB-audio),None (direct USB),n/a (receive only),None - all control in the SDR app.,Micro-USB (later production revision uses USB-C),"Compact HF/VHF SDR receiver; check your unit's connector (early micro-USB, later USB-C). RX only.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Airspy,Airspy HF+ Dual Port,HF/VHF SDR receiver (USB),RX 0.5 kHz-31 MHz + 60-260 MHz,"Plug directly into a USB port; tune/demodulate in SDR software (SDR#, SDR++, SDRangel, GQRX). No serial CAT, no radio-side settings.",none,n/a,n/a,n/a,n/a,None,n/a,No - streams IQ over USB via the libairspyhf driver (not USB-audio),None (direct USB),n/a (receive only),None - all control in the SDR app; select HF vs VHF port in software.,Micro-USB (USB 2.0),HF/VHF SDR receiver with separate HF and VHF antenna ports. RX only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Airspy,Airspy Mini,VHF/UHF SDR receiver (USB dongle),RX 24-1700 MHz,"Plug the dongle directly into a USB port; tune/demodulate in SDR software (SDR#, SDR++, SDRangel, GQRX). No serial CAT, no radio-side settings.",none,n/a,n/a,n/a,n/a,None,n/a,No - streams IQ over USB via the libairspy driver (not USB-audio),None (direct USB),n/a (receive only),None - all control in the SDR app.,USB Type-A male (plugs straight into port; use a short USB extension to avoid noise),24-1700 MHz dongle-form SDR receiver. RX only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Airspy,Airspy R2,VHF/UHF SDR receiver (USB),RX 24-1800 MHz,"Plug directly into a USB port; tune/demodulate in SDR software (SDR#, SDR++, SDRangel, GQRX). No serial CAT, no radio-side settings.",none,n/a,n/a,n/a,n/a,None,n/a,No - streams IQ over USB via the libairspy driver (not USB-audio),None (direct USB),n/a (receive only),None - all control in the SDR app.,Micro-USB (USB 2.0); use a quality/short cable,24-1800 MHz USB SDR receiver. RX only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,ALD-24 / ALR-22 / ALR-206,VHF FM mobile,2m,No CAT/serial - set frequency manually. For FM digital attach a Digirig Mobile to the mic jack; key via VOX or the interface PTT line.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco mic-jack cable (SignaLink as audio-only alt),VOX or Digirig RTS keying (mic PTT line),Frequency/offset/tone set on the radio; no CAT/baud.,Front mic jack + ext-speaker jack,Vintage 2m FM mobiles; no computer control. Channel/freq set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
