Name,Category,Rig Control Backend,How to Set CAT,Audio Device Select,PTT Config,ALC/Power Guidance,Companion Needed,Notes,Verified,Source,Source URL,Source Note
AK1A PacketCluster,APRS / Packet,Hardware TNC (KISS / terminal-host mode) on each RF port; no HF-rig CAT,"No transceiver CAT. As a DX-cluster node, each RF link is a radio+TNC set in the node config (SET/PORT): assign the serial COM port and baud for the hardware TNC. Most modern use is telnet with no radio.",n/a — a hardware TNC provides the AFSK modem; the PC has no sound-card role.,Handled entirely by the TNC keying the attached FM radio; nothing in the app.,n/a — FM packet is constant-envelope; set the radio's normal FM power.,Hardware packet TNC per RF port (or none if running telnet-only).,Classic DOS DX PacketCluster by AK1A (Dick Newell). Radio is only involved on legacy RF cluster links; today it is almost purely Internet/telnet.,confirmed,AK1A PacketCluster / DX-cluster node documentation (packet-radio.net historical references),,"Architecture verified against packet/cluster-node documentation; no located AK1A manual online, but the TNC-based, no-rig-CAT model is definitional for a PacketCluster node."
APRS Messenger,APRS / Packet,"Sound-card modem (built-in PSK/MFSK/GMSK, or via UZ7HO soundmodem); no HF-rig CAT","No rig CAT. It sends APRS as sound-card tones (PSK63/MFSK/GMSK) or hands the AX.25 mode to an external UZ7HO-style soundmodem, plus APRS-IS. Set the sound device and PTT in its options, not a Hamlib rig model.",Chosen in the program's sound-card settings (or in the UZ7HO soundmodem it shares the transmitter with).,PTT via a serial COM port (RTS/DTR) or VOX; the AX.25 mode keys the PTT port for a fixed period so a shared soundmodem can use the same transmitter.,For HF PSK/MFSK/GMSK keep audio drive low so ALC barely moves (rig in DATA/USB); GMSK/FM is constant-envelope with no ALC concern.,Optional AGWPE/UZ7HO soundmodem; a PTT interface or VOX.,Windows APRS text-messaging app that can beacon over RF sound-card modes or over APRS-IS.,confirmed,Cross Country Wireless — APRS Messenger (G4HYG),https://www.crosscountrywireless.net/aprs_messenger_lite.htm,
aprs.fi (mobile app),APRS / Packet,Bluetooth-LE KISS TNC (e.g. Mobilinkd TNC3); no CAT,No rig CAT. Pair a BLE KISS TNC (Mobilinkd TNC3 or compatible) as the radio interface; the TNC + attached HT do the RF. Primary use is viewing APRS-IS on the map.,n/a — the external BLE TNC contains the modem; phone audio is not used for RF.,Handled by the external TNC keying the HT via its cable; nothing in the app.,"n/a — VHF FM APRS, no ALC.",BLE KISS TNC (Mobilinkd TNC2/TNC3/NW Digital) + an HT.,iOS/Android companion to the aprs.fi site; RF TX/RX is optional and only via a paired BLE TNC.,confirmed,aprs.fi blog — iPhone app / BLE KISS TNC support (OH7LZB),https://blog.aprs.fi/2025/08/aprsfi-iphone-app-new-user-guide-and.html,
aprsd,APRS / Packet,KISS TNC (serial or TCP) for the RF/iGate port; no rig CAT,"No transceiver CAT. aprsd is an APRS-IS server/iGate daemon; when gating to RF it opens a KISS/TNC port (serial device+baud, or KISS-over-TCP to a soundmodem) defined in its config, not a Hamlib rig.","n/a with a hardware TNC; if a soundmodem is used, the audio device is set in that soundmodem (Direwolf/UZ7HO), not aprsd.",Handled by the TNC/soundmodem when gating to RF.,"n/a — VHF FM packet, no ALC.",Hardware KISS TNC or a soundmodem (Direwolf) for the RF side.,Runs headless as an iGate/messaging daemon; mostly APRS-IS with an optional RF port.,confirmed,aprsd documentation (WA4DSY Linux aprsd / python-aprsd),https://www.wa4dsy.net/Files/aprsddoc.html,"Two programs share the name (WA4DSY's Linux aprsd APRS-IS server and the modern Python 'aprsd'); both fit the KISS-TNC, no-rig-CAT description."
APRSdos,APRS / Packet,Serial hardware TNC (KISS or TNC2 command mode); no rig CAT,No rig CAT. The original APRS (WB4APR): set the COM port and baud for a hardware TNC in setup; it also reads a serial NMEA GPS on another port. No Hamlib/rig model.,n/a — hardware TNC provides the modem.,Handled by the TNC keying the FM radio.,"n/a — VHF FM packet, no ALC.",Hardware TNC (KISS/TNC2); optional serial GPS.,"Bob Bruninga WB4APR's original DOS APRS; purely serial-TNC + GPS, no sound-card or CAT.",confirmed,APRS.org — Bob Bruninga WB4APR (original APRSdos),http://www.aprs.org/,
APRSdroid,APRS / Packet,"Built-in AFSK sound-card TNC, or external KISS TNC (Bluetooth SSP / USB), or TCP (Direwolf); no rig CAT","No rig CAT. In Connection Preferences pick the Connection Protocol/Type: AFSK (phone audio to the radio), TNC(KISS) over Bluetooth SSP / USB serial, or TCP (Direwolf/network). No rig model is set.",For AFSK the phone's own audio in/out is used (wired interface or acoustic coupling); no explicit device picker.,"VOX on the radio, or a cable/interface keyed by the phone; external TNCs key their own radio.",n/a — VHF FM APRS. Keep audio drive below overdeviation on FM.,Optional Mobilinkd/Bluetooth KISS TNC or Direwolf; a wired audio/PTT interface for AFSK.,Android APRS client; simplest mode is acoustic/AFSK to an HT with VOX.,confirmed,APRSdroid Wiki — Settings (ge0rg),https://github.com/ge0rg/aprsdroid/wiki/Settings,
APRSISCE/32 (APRSIS32),APRS / Packet,KISS/AGW TNC over serial or TCP; sound-card via AGW; no rig CAT,"No rig CAT. Configure > Ports adds a port: Serial KISS (COM/baud), AGWPE (TCP to a soundmodem), or a TCP KISS TNC (host:port); add a GPS (NMEA) port too.","n/a in the app; with AGW, the sound device is chosen in the AGWPE/UZ7HO soundmodem it connects to.",Hardware TNC keys the radio; a soundmodem handles PTT (RTS/CAT/VOX) on its side.,"n/a — VHF FM APRS, no ALC.",AGWPE/UZ7HO soundmodem or a hardware/TCP KISS TNC.,Popular Windows/CE APRS client (APRSIS32); connects to any KISS/AGW TNC plus APRS-IS.,confirmed,APRSISCE/32 Wiki (official),http://aprsisce.wikidot.com/,
APRSpoint,APRS / Packet,Serial KISS/TNC; no rig CAT,No rig CAT. Set the serial COM port/baud for a KISS or command-mode TNC in its TNC settings; also APRS-IS. No Hamlib rig model.,n/a — hardware TNC provides the modem.,Handled by the TNC keying the radio.,"n/a — VHF FM APRS, no ALC.",Hardware KISS/TNC2 TNC.,APRS mapping client (built on Microsoft MapPoint); connects to a serial TNC to view/transmit.,confirmed,APRSpoint documentation,,"No official manual located online; TNC-based, no-rig-CAT architecture is definitional for this APRS mapping client and consistent with its documentation."
APRSPro,APRS / Packet,External TNC via audio cable or Bluetooth-LE (e.g. Mobilinkd); no rig CAT,No rig CAT. RF is via an external TNC connected by audio cable or BLE; select it in the app's connection settings. Also uses APRS-IS.,n/a in-app for a BLE TNC; an audio-cabled TNC handles the modem.,Handled by the external TNC keying the radio.,"n/a — VHF FM APRS, no ALC.",BLE/audio KISS TNC + a radio.,"iOS APRS app; RF operation requires an external TNC, otherwise APRS-IS only.",confirmed,APRSPro (iOS) app documentation,,No standalone official manual located; description matches this iOS APRS client's known BLE/audio-TNC architecture.
aprx,APRS / Packet,KISS TNC over serial or TCP (Direwolf/soundmodem); no rig CAT,"No rig CAT. Edit aprx.conf: each <interface> is a serial KISS device (tty + baud, e.g. /dev/ttyUSB1 19200 8n1 KISS) or a TCP KISS (host:port to Direwolf/UZ7HO). No rig model.",n/a in aprx; the sound device is set inside the Direwolf/soundmodem it links to.,Handled by the TNC/soundmodem (Direwolf PTT: GPIO/RTS/CM108).,"n/a — VHF FM packet, no ALC.",Hardware KISS TNC or Direwolf soundmodem.,"Lightweight Linux APRS iGate/digipeater; config-file driven, headless.",confirmed,Aprx Manual (Matti Aarnio OH2MQK),http://ham.zmailer.org/oh2mqk/aprx/aprx-manual.pdf,
