Manufacturer,Model,Category,Connection,Compatibility,Notes
BuxComm,MISO,sound card interface,USB,Companion to RASCAL III+ / RASCAL GLX,Add-on USB sound card module so a RASCAL can use a dedicated USB codec instead of the PC's internal sound card.
BuxComm,RASCAL (GLX / MK III / III+ / MISO-ready),sound card interface,3.5mm audio (PC sound card) + RS-232 serial PTT,"Many transceivers via radio-specific cables; WinPSK, HamScope, Fldigi, MMSSTV, etc.",Classic transformer-isolated + opto-PTT interface using the computer's sound card. Sold assembled and as ISO-Kit.
Digirig,Digirig Mobile,combined (sound+CAT),USB (built-in hub: CM108 sound + CP2102 serial),"Configurable serial modes: logic-level TTL, RS-232, Icom CI-V, or Lab599 TX-500; works with essentially any rig via the matching cable; Win/Mac/Linux/RPi/Android",Very compact combined audio+CAT+PTT interface popular for FT8/VARA/Winlink and portable ops. Single USB cable; per-radio cable sets sold separately.
DMK Engineering,URIx / URI (USB Radio Interface),sound card interface,USB,AllStarLink / app_rpt repeater linking; Asterisk,"CM119-based USB radio interface with buffered/level-set audio and COR/PTT lines, aimed at AllStar nodes and repeater controllers. No CAT."
EA7HG,CAT / digimode interfaces (kits/designs),combined (sound+CAT),RS-232 or USB (design-dependent),"Icom CI-V, Yaesu CAT, Kenwood (per design)",Spanish designer's published/kit interface designs combining CAT control with soundcard digimode connections; represents the homebrew-kit tier.
ELEKITSORPARTS,HF digiBox,sound card interface,USB-C + 3.5mm audio cables,"Elecraft KX3/KX2, uSDX, uBITX, Yaesu FT-8x7, Xiegu G90; FT8, RTTY, PSK31","Built-in USB sound card + audio-to-PTT trigger circuitry; ready-to-use (board + enclosure + cables, no soldering). VOX/keying PTT; no CAT."
G4ZLP / ZLP Electronics,DigiMaster PRO+ / Pro3,combined (sound+CAT),USB,Icom/Yaesu/Kenwood; CAT + sound + PTT + CW/FSK,"Higher-end all-in-one digital-mode + CAT interfaces (isolated audio, keying). Sold via xggcomms."
Generic / Nooelec / StarTech / Sabrent,CM108 / CM119 USB sound dongle (modified),sound card interface,USB,"Windows/Linux/Raspberry Pi; Direwolf, AllStar/app_rpt, Fldigi, FT8 (via VOX)","Very cheap (~$3-10) USB audio fob whose CM108/CM119 exposes a GPIO (pin13/GPIO3) that can be wired for hardware PTT; otherwise VOX. Widely modified per repeater-builder/OARC guides. Basis of many DIY interfaces. No CAT, no isolation unless added."
ham-interfaces.com,Digimode-4 / USB CAT cables,combined (sound+CAT),USB,"Icom CI-V, Yaesu CAT, Kenwood",Commercial per-rig USB CAT cables plus the Digimode-4 combined sound+CAT interface line.
"Homebrew / DIY (e.g. G4ILO USBlink, KA1MDA)",Opto-isolated sound-card interface (generic homebrew),sound card interface,3.5mm audio (PC or USB sound card) + serial-port opto PTT,"Any radio with mic/data port; PSK31, RTTY, SSTV, FT8, packet","Classic DIY design: two 600Ω isolation transformers for TX/RX audio + an opto-isolator (e.g. 4N33) on RS-232 RTS/DTR for PTT, eliminating ground loops. Countless published variants; basis for many commercial units above."
Icom,"Built-in USB Audio Codec (IC-7300, IC-7100, IC-7200, IC-7410, IC-7610, IC-9700, IC-705, IC-7851, etc.)",combined (sound+CAT),"USB (built-in, single cable)","WSJT-X (FT8/FT4), Fldigi, DigiPan, RTTY, Winlink, packet; CI-V rig control",Radio integrates a USB hub with a soundcard chip + CI-V serial bridge; appears to the PC as 'USB Audio Codec' plus a COM port. No external interface needed. Requires Icom USB driver (v1.3+).
Icom,OPC-2350LU,combined (sound+CAT),USB (micro-B / Type-A kit),"IC-7100, IC-9700, ID-31/51, ID-4100/5100 (data + control)",USB data-communication cable used for control/data on radios lacking a native USB port; also used for D-STAR low-speed data.
Kenwood,"Built-in USB Audio (TS-590S/SG, TS-890S, TS-990S)",combined (sound+CAT),"USB (built-in, USB A-B cable)","PSK31, Olivia, JS8Call, packet, FT8/FT4; CAT rig control over virtual COM","Radio provides a built-in USB sound card + virtual COM port; DATA mode routes audio to/from USB (menu-controlled input/output levels, e.g. TS-590SG menus 71/72/74, TS-890 menus 7-07/7-08)."
Kits 4 Hams (design by N8AR),DINAH,sound card interface,USB Type-A (plugs directly into Raspberry Pi),"Radios with the standard 6-pin miniDIN 'Packet'/'Data' port (Japanese VHF/UHF rigs); AllStar (app_rpt), Direwolf, packet/APRS","CM119B/CM108B USB codec + GPIO PTT/COS with RFI filtering, status LEDs, 1200/9600-baud jumper. Compact (~2 in). No CAT; kit/assembled."
Masters Communications,DRA-30,sound card interface,USB,"Radios via data/mic ports; Fldigi, Direwolf, packet, AllStar, digital two-way",USB radio adapter built on a C-Media (CM119) USB codec with GPIO-derived PTT. Available as kit or assembled; documented schematic.
Masters Communications,DRA-36 / DRA-36M,sound card interface,USB,"Digital two-way, packet/APRS (Direwolf), Fldigi, AllStar/SHARES","Radio Adapter interface board; CM119 codec + GPIO PTT/COS. Standard and metal-case (M) variants, kit or assembled."
Masters Communications,DRA-45,sound card interface,USB,Digital two-way / packet / AllStar,Member of the DRA USB radio-adapter series (CM119-based). Kit or assembled.
Masters Communications,DRA-50,sound card interface,USB,"Digital two-way radio applications; packet, AllStar, Fldigi",Digital Radio Adapter interface; CM119 codec + GPIO PTT. Multiple case/kit options.
Masters Communications,DRA-65,sound card interface,USB,Digital two-way / repeater-link / AllStar / packet,Upper model of the DRA USB radio-adapter series. Kit or assembled.
MFJ Enterprises,MFJ-1204 (e.g. MFJ-1204D13I),sound card interface,USB,"Connector-specific variants (Icom 13-pin DIN, mic, etc.)","Plug & Play digital-mode interface with built-in sound card, USB-powered. Auto-PTT; no CAT."
